frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,qX,qY,qZ,qW,grounded,sleeping,sleepInhibited,sleepCounter,islandRoot,bodyEligible,islandEligible,topologyStable,islandCanSleep,contactRows,maxPenetration,maxSeparationBias,maxClosingSpeed,maxSlipSpeed,maxImpulse,resetReason
0,19,target_box_09,524.7252,97.8300,562.3829,1688.2808,-775.3093,136.8227,1862.8250,0.0005,81.7786,463.3944,470.5551,-0.078853,0.037253,0.424801,0.901077,0,0,0,0,14,0,0,1,0,1,0.000000,0.000000,10875.564453,5071.693359,2794.237549,1
1,0,target_ball_00,553.7009,100.0000,434.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,1,target_ball_01,553.7009,100.0000,448.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,2,target_ball_02,553.7009,100.0000,462.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,3,target_ball_03,553.7009,100.0000,476.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,3,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,4,target_ball_04,553.7009,100.0000,490.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,4,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,5,shot_00,515.1963,100.0000,434.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,5,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,6,shot_01,515.1963,100.0000,448.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,6,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,7,shot_02,515.1963,100.0000,462.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,7,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,8,shot_03,515.1963,100.0000,476.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,8,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,9,shot_04,515.1963,100.0000,490.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,9,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,10,shot_05,505.5676,100.0000,506.0000,-1007.0586,0.0000,0.0000,1007.0586,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,10,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,11,shot_06,517.5111,100.0000,484.5120,78.7370,0.0000,-3193.1880,3194.1587,0.0000,2.1906,0.0000,2.1906,0.000000,0.012393,0.000000,0.999923,0,0,0,0,11,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,12,shot_07,517.5165,135.4950,534.0000,79.2185,3193.8142,0.0000,3194.7966,0.0000,0.0000,-0.5352,0.5352,0.000000,0.000000,-0.003029,0.999995,0,0,0,0,12,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,13,shot_08,541.5471,121.0979,497.4454,2261.6929,1894.4381,-4539.4458,5413.9375,0.5752,2.1097,-0.3535,2.2152,0.003261,0.011960,-0.002004,0.999921,0,0,0,0,13,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,14,shot_09,537.2346,151.7853,552.8612,1870.3160,4651.8555,-820.9362,5080.5293,-0.1875,-0.5486,-0.7959,0.9847,-0.001063,-0.003110,-0.004511,0.999984,0,0,0,0,14,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,15,target_box_05,544.0721,100.0000,506.0000,2167.8433,0.0000,0.0000,2167.8433,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,15,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,16,target_box_06,542.0815,100.0000,525.9147,1986.8772,0.0000,532.1981,2056.9189,0.0000,5.0000,0.0000,5.0000,0.000000,0.301359,0.000000,0.953511,0,0,0,0,16,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,17,target_box_07,542.0806,94.0842,534.0000,1986.7969,-532.3024,0.0000,2056.8684,0.0000,0.0000,5.0000,5.0000,0.000000,0.000000,0.301446,0.953483,0,0,0,0,17,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,18,target_box_08,538.0755,96.4837,556.4258,1623.0511,-315.7397,756.5743,1818.3484,0.0000,4.6143,1.9257,5.0000,0.017171,0.433377,0.171091,0.884657,0,0,0,0,18,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,19,target_box_09,538.7942,91.3691,563.5231,1688.2808,-775.3093,136.8227,1862.8250,0.0000,0.8690,4.9239,5.0000,-0.078048,0.038918,0.443805,0.891869,0,0,0,0,19,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,0,target_ball_00,578.9924,100.0000,434.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,1,target_ball_01,578.9924,100.0000,448.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,2,target_ball_02,578.9924,100.0000,462.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,3,target_ball_03,578.9924,100.0000,476.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,3,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,4,target_ball_04,578.9924,100.0000,490.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,4,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,5,shot_00,514.0303,100.0000,434.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,5,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,6,shot_01,514.0303,100.0000,448.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,6,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,7,shot_02,514.0303,100.0000,462.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,7,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,8,shot_03,514.0303,100.0000,476.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,8,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,9,shot_04,514.0303,100.0000,490.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,9,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,10,shot_05,497.1755,100.0000,506.0000,-1007.0586,0.0000,0.0000,1007.0586,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,10,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,11,shot_06,518.1672,100.0000,457.9021,78.7370,0.0000,-3193.1880,3194.1587,0.0000,2.1906,0.0000,2.1906,0.000000,0.021684,0.000000,0.999765,0,0,0,0,11,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,12,shot_07,518.1766,162.1101,534.0000,79.2185,3193.8142,0.0000,3194.7966,0.0000,0.0000,-0.5352,0.5352,0.000000,0.000000,-0.005300,0.999986,0,0,0,0,12,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,13,shot_08,560.3945,136.8848,459.6167,2261.6929,1894.4381,-4539.4458,5413.9375,0.5752,2.1097,-0.3535,2.2152,0.005701,0.020908,-0.003503,0.999759,0,0,0,0,13,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,14,shot_09,552.8206,190.5508,546.0201,1870.3160,4651.8555,-820.9362,5080.5293,-0.1875,-0.5486,-0.7959,0.9847,-0.001858,-0.005438,-0.007888,0.999952,0,0,0,0,14,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,15,target_box_05,562.1375,100.0000,506.0000,2167.8433,0.0000,0.0000,2167.8433,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,15,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,16,target_box_06,558.6388,100.0000,530.3497,1986.8772,0.0000,532.1981,2056.9189,0.0000,5.0000,0.0000,5.0000,0.000000,0.321498,0.000000,0.946910,0,0,0,0,16,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,17,target_box_07,558.6372,89.6483,534.0000,1986.7969,-532.3024,0.0000,2056.8684,0.0000,0.0000,5.0000,5.0000,0.000000,0.000000,0.321584,0.946881,0,0,0,0,17,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
2,18,target_box_08,552.0269,94.2125,561.5165,1672.3602,-274.0719,616.0210,1803.1600,30.0380,63.4589,29.9085,76.3140,0.116980,0.623412,0.320382,0.703583,0,0,0,0,18,0,0,0,0,1,0.274064,0.000000,442.381775,627.551514,232.004547,1
2,19,target_box_09,552.4372,84.5482,565.8773,1638.9717,-816.9771,277.3760,1852.1925,40.4851,17.1875,23.9647,50.0875,0.102105,0.019264,0.535283,0.838257,0,0,0,0,18,0,0,0,0,1,0.274064,0.000000,442.381775,627.551514,232.004547,1
3,0,target_ball_00,604.2839,100.0000,434.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,1,target_ball_01,604.2839,100.0000,448.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,2,target_ball_02,604.2839,100.0000,462.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,3,target_ball_03,604.2839,100.0000,476.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,3,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,4,target_ball_04,604.2839,100.0000,490.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,4,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,5,shot_00,512.8643,100.0000,434.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,5,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,6,shot_01,512.8643,100.0000,448.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,6,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,7,shot_02,512.8643,100.0000,462.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,7,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,8,shot_03,512.8643,100.0000,476.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,8,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,9,shot_04,512.8643,100.0000,490.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,9,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,10,shot_05,488.7833,100.0000,506.0000,-1007.0586,0.0000,0.0000,1007.0586,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,10,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,11,shot_06,518.8234,100.0000,431.2922,78.7370,0.0000,-3193.1880,3194.1587,0.0000,2.1906,0.0000,2.1906,0.000000,0.030972,0.000000,0.999520,0,0,0,0,11,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,12,shot_07,518.8368,188.7252,534.0000,79.2185,3193.8142,0.0000,3194.7966,0.0000,0.0000,-0.5352,0.5352,0.000000,0.000000,-0.007571,0.999971,0,0,0,0,12,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,13,shot_08,579.2419,152.6718,421.7880,2261.6929,1894.4381,-4539.4458,5413.9375,0.5752,2.1097,-0.3535,2.2152,0.008140,0.029853,-0.005002,0.999509,0,0,0,0,13,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,14,shot_09,568.4065,229.3162,539.1790,1870.3160,4651.8555,-820.9362,5080.5293,-0.1875,-0.5486,-0.7959,0.9847,-0.002653,-0.007765,-0.011265,0.999903,0,0,0,0,14,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,15,target_box_05,580.2028,100.0000,506.0000,2167.8433,0.0000,0.0000,2167.8433,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,15,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,16,target_box_06,575.1961,100.0000,534.7847,1986.8772,0.0000,532.1981,2056.9189,0.0000,5.0000,0.0000,5.0000,0.000000,0.341492,0.000000,0.939885,0,0,0,0,16,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,17,target_box_07,575.1938,85.2125,534.0000,1986.7969,-532.3024,0.0000,2056.8684,0.0000,0.0000,5.0000,5.0000,0.000000,0.000000,0.341578,0.939854,0,0,0,0,17,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,18,target_box_08,565.9633,91.9286,566.6500,1672.3602,-274.0719,616.0210,1803.1600,1.9681,4.1577,1.9596,5.0000,0.123291,0.633970,0.329292,0.688803,0,0,0,0,18,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
3,19,target_box_09,566.0953,77.7401,568.1888,1638.9717,-816.9771,277.3760,1852.1925,4.0414,1.7157,2.3923,5.0000,0.120138,0.017222,0.543250,0.830753,0,0,0,0,19,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,0,target_ball_00,629.5754,100.0000,434.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,1,target_ball_01,629.5754,100.0000,448.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,2,target_ball_02,629.5754,100.0000,462.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,3,target_ball_03,629.5754,100.0000,476.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,3,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,4,target_ball_04,629.5754,100.0000,490.0000,3034.9802,0.0000,0.0000,3034.9802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,4,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,5,shot_00,511.6982,100.0000,434.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,5,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,6,shot_01,511.6982,100.0000,448.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,6,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,7,shot_02,511.6982,100.0000,462.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,7,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,8,shot_03,511.6982,100.0000,476.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,8,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,9,shot_04,511.6982,100.0000,490.0000,-139.9209,0.0000,0.0000,139.9209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,9,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,10,shot_05,480.3912,100.0000,506.0000,-1007.0586,0.0000,0.0000,1007.0586,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,10,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
4,11,shot_06,519.4795,100.0000,404.6823,78.7370,0.0000,-3193.1880,3194.1587,0.0000,2.1906,0.0000,2.1906,0.000000,0.040258,0.000000,0.999189,0,0,0,0,11,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
